<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.23	13:34:00	1577.41	1577.41	1577.41	1577.41	1	0	90
2025.12.23	13:39:00	1577.42	1577.43	1576.93	1577.19	5	0	90
2025.12.23	13:40:00	1577.19	1577.21	1577.19	1577.21	3	0	90
2025.12.23	13:42:00	1577.29	1577.29	1577.29	1577.29	1	0	90
2025.12.23	13:43:00	1577.30	1577.30	1577.30	1577.30	1	0	90
2025.12.23	13:44:00	1577.30	1577.32	1577.30	1577.32	3	0	90
2025.12.23	13:45:00	1577.32	1577.35	1577.32	1577.35	2	0	90
2025.12.23	13:46:00	1577.35	1577.35	1577.34	1577.34	2	0	90
2025.12.23	13:47:00	1577.34	1577.34	1577.34	1577.34	1	0	90
2025.12.23	13:48:00	1577.33	1577.33	1577.33	1577.33	1	0	90
2025.12.23	13:50:00	1577.34	1577.34	1577.34	1577.34	1	0	90
2025.12.23	13:51:00	1577.31	1577.31	1577.31	1577.31	1	0	90
2025.12.23	13:52:00	1577.31	1577.31	1577.31	1577.31	1	0	90
2025.12.23	13:53:00	1577.32	1577.37	1577.32	1577.37	3	0	90
2025.12.23	13:54:00	1577.35	1577.35	1577.35	1577.35	1	0	90
2025.12.23	13:55:00	1577.36	1577.39	1577.36	1577.39	4	0	90
2025.12.23	13:56:00	1577.42	1577.43	1577.41	1577.42	4	0	90
2025.12.23	13:57:00	1577.57	1577.70	1577.57	1577.70	2	0	90
2025.12.23	13:59:00	1577.71	1577.76	1577.71	1577.76	3	0	90
2025.12.23	14:00:00	1577.76	1577.76	1577.76	1577.76	1	0	90
2025.12.23	14:01:00	1577.75	1577.75	1577.75	1577.75	1	0	90
2025.12.23	14:02:00	1577.74	1577.74	1577.71	1577.71	2	0	90
2025.12.23	14:03:00	1577.75	1577.76	1577.72	1577.72	4	0	90
2025.12.23	14:04:00	1577.77	1577.77	1577.73	1577.73	2	0	90
2025.12.23	14:05:00	1577.75	1577.76	1577.75	1577.76	2	0	90
2025.12.23	14:07:00	1577.80	1577.81	1577.80	1577.81	2	0	90
2025.12.23	14:08:00	1577.81	1577.83	1577.81	1577.83	3	0	90
2025.12.23	14:09:00	1577.96	1578.21	1577.95	1578.21	4	0	90
2025.12.23	14:10:00	1578.21	1578.34	1578.21	1578.34	3	0	90
2025.12.23	14:11:00	1578.34	1578.48	1578.34	1578.48	3	0	90
2025.12.23	14:12:00	1578.37	1578.37	1578.37	1578.37	1	0	90
2025.12.23	14:13:00	1578.52	1578.53	1578.52	1578.53	2	0	90
2025.12.23	14:14:00	1578.55	1578.55	1578.55	1578.55	1	0	90
2025.12.23	14:15:00	1578.55	1578.81	1578.55	1578.81	3	0	90
2025.12.23	14:16:00	1578.68	1578.68	1578.68	1578.68	1	0	90
2025.12.23	14:17:00	1578.68	1578.68	1578.68	1578.68	1	0	90
2025.12.23	14:18:00	1578.68	1578.68	1578.67	1578.67	2	0	90
2025.12.23	14:19:00	1578.67	1578.67	1578.67	1578.67	1	0	90
2025.12.23	14:21:00	1578.64	1578.64	1578.64	1578.64	1	0	90
2025.12.23	14:22:00	1578.64	1578.64	1578.64	1578.64	1	0	90
2025.12.23	14:23:00	1578.64	1578.77	1578.64	1578.77	3	0	90
2025.12.23	14:24:00	1578.77	1578.77	1578.77	1578.77	1	0	90
2025.12.23	14:26:00	1578.91	1579.04	1578.91	1578.92	3	0	90
2025.12.23	14:27:00	1578.92	1578.92	1578.91	1578.91	2	0	90
2025.12.23	14:28:00	1578.91	1578.91	1578.62	1578.62	5	0	90
2025.12.23	14:29:00	1578.62	1578.62	1578.58	1578.58	4	0	90
2025.12.23	14:30:00	1578.58	1578.58	1578.55	1578.55	4	0	90
2025.12.23	14:31:00	1578.55	1579.41	1578.55	1579.41	7	0	90
2025.12.23	14:32:00	1579.42	1579.44	1579.42	1579.44	3	0	90
2025.12.23	14:33:00	1579.47	1579.47	1579.47	1579.47	1	0	90
2025.12.23	14:34:00	1579.48	1579.48	1579.48	1579.48	1	0	90
2025.12.23	14:35:00	1579.50	1580.00	1579.50	1580.00	4	0	90
2025.12.23	14:36:00	1580.25	1580.37	1580.25	1580.37	2	0	90
2025.12.23	14:37:00	1580.25	1580.25	1580.25	1580.25	1	0	90
2025.12.23	14:39:00	1580.26	1580.52	1580.26	1580.52	4	0	90
2025.12.23	14:40:00	1580.40	1580.42	1580.40	1580.42	2	0	90
2025.12.23	14:41:00	1580.42	1580.43	1580.42	1580.43	2	0	90
2025.12.23	14:42:00	1580.43	1580.43	1580.43	1580.43	1	0	90
2025.12.23	14:43:00	1580.43	1580.43	1580.43	1580.43	1	0	90
2025.12.23	14:44:00	1580.43	1580.43	1580.43	1580.43	1	0	90
2025.12.23	14:45:00	1580.43	1580.93	1580.43	1580.93	4	0	90
2025.12.23	14:46:00	1580.93	1580.93	1580.81	1580.81	2	0	90
2025.12.23	14:47:00	1580.81	1580.81	1580.81	1580.81	1	0	90
2025.12.23	14:48:00	1580.81	1580.94	1580.81	1580.94	2	0	90
2025.12.23	14:49:00	1580.94	1580.94	1580.94	1580.94	1	0	90
2025.12.23	14:50:00	1580.81	1580.81	1580.81	1580.81	1	0	90
2025.12.23	14:51:00	1580.81	1580.81	1580.81	1580.81	1	0	90
2025.12.23	14:52:00	1580.81	1580.81	1580.81	1580.81	1	0	90
2025.12.23	14:53:00	1580.79	1580.79	1580.78	1580.78	2	0	90
2025.12.23	14:55:00	1580.77	1580.77	1580.77	1580.77	1	0	90
2025.12.23	14:56:00	1580.76	1580.76	1580.74	1580.74	3	0	90
2025.12.23	14:57:00	1580.73	1580.73	1580.73	1580.73	1	0	90
2025.12.23	14:58:00	1580.70	1580.70	1580.70	1580.70	1	0	90
2025.12.23	15:00:00	1580.68	1580.68	1580.67	1580.67	2	0	90
2025.12.23	15:01:00	1580.66	1580.66	1580.65	1580.65	2	0	90
2025.12.23	15:02:00	1580.64	1580.64	1580.63	1580.63	2	0	90
2025.12.23	15:03:00	1580.61	1580.61	1580.61	1580.61	1	0	90
2025.12.23	15:04:00	1580.61	1580.61	1580.60	1580.60	2	0	90
2025.12.23	15:05:00	1580.59	1580.59	1580.58	1580.58	2	0	90
2025.12.23	15:06:00	1580.57	1580.57	1580.55	1580.55	3	0	90
2025.12.23	15:07:00	1580.55	1580.55	1580.28	1580.28	3	0	90
2025.12.23	15:08:00	1580.31	1580.31	1580.31	1580.31	1	0	90
2025.12.23	15:10:00	1580.26	1580.26	1580.25	1580.25	2	0	90
2025.12.23	15:11:00	1580.25	1580.25	1580.25	1580.25	1	0	90
2025.12.23	15:12:00	1580.25	1580.25	1580.25	1580.25	1	0	90
2025.12.23	15:13:00	1580.26	1580.26	1580.26	1580.26	1	0	90
2025.12.23	15:14:00	1580.26	1580.26	1580.26	1580.26	1	0	90
2025.12.23	15:15:00	1580.25	1580.25	1580.24	1580.24	2	0	90
2025.12.23	15:16:00	1580.24	1580.24	1580.23	1580.23	2	0	90
2025.12.23	15:17:00	1580.22	1580.22	1580.09	1580.09	2	0	90
2025.12.23	15:18:00	1580.08	1580.08	1580.06	1580.06	2	0	90
2025.12.23	15:19:00	1580.06	1580.06	1579.66	1579.66	4	0	90
2025.12.23	15:20:00	1579.66	1579.66	1579.65	1579.65	2	0	90
2025.12.23	15:21:00	1579.64	1579.64	1579.64	1579.64	1	0	90
2025.12.23	15:22:00	1579.64	1579.64	1579.64	1579.64	1	0	90
2025.12.23	15:23:00	1579.64	1579.64	1579.64	1579.64	1	0	90
2025.12.23	15:24:00	1579.64	1579.64	1579.64	1579.64	1	0	90
2025.12.23	15:25:00	1579.63	1579.63	1579.63	1579.63	1	0	90
2025.12.23	15:26:00	1579.62	1579.62	1579.49	1579.49	2	0	90
2025.12.23	15:27:00	1579.48	1579.48	1579.35	1579.35	2	0	90
2025.12.23	15:28:00	1579.34	1579.34	1579.34	1579.34	1	0	90
